station_id,station_name,station_latitude,station_longitude
OK-L16,Foothill Blvd at Fruitvale Ave,37.784,-122.223
OK-L19,Bond St at High St,37.774,-122.212
OK-L3,14th St at Filbert St,37.809,-122.283
OK-L4,MLK Jr Way at 14th St,37.806,-122.276
OK-L5,Frank H Ogawa Plaza,37.805,-122.272
OK-L6,13th St at Franklin St,37.803,-122.27
OK-L6-2,13th St at Webster St,37.803,-122.269
OK-L7,Jackson St at 11th St,37.8,-122.266
OK-L7-2,Lakeside Dr at 14th St,37.801,-122.263
OK-L8,10th St at Fallon St,37.798,-122.263
OK-L9,4th Ave at E 12th St (Temporary Location),37.796,-122.256
OK-M1,West Oakland BART Station,37.805,-122.295
OK-M14,26th Ave at International Blvd,37.781,-122.233
OK-M16,Farnam St at Fruitvale Ave,37.778,-122.225
OK-M2,Union St at 10th St,37.807,-122.289
OK-M3,10th St at Chestnut St,37.806,-122.286
OK-M3,Market St at 8th St,37.804,-122.282
OK-M5,Washington St at 8th St,37.801,-122.275
OK-M6,Franklin St at 9th St,37.801,-122.272
OK-M7,Lake Merritt BART Station,37.797,-122.265
OK-N1,West Oakland BART Station,37.805,-122.295
OK-N17,Fruitvale BART Station,37.775,-122.224
OK-N5,Jack London Square,37.796,-122.279
OK-N6,Webster St at 2nd St,37.795,-122.274
SF I29-1,Bryant St at 2nd St,37.783,-122.394
SF I29-1,Bryant St at 2nd St,37.783,-122.393
SF-A15,Mason St at Halleck St,37.804,-122.455
SF-A19,Fillmore St at Jefferson St,37.805,-122.437
SF-A20,Buchanan St at North Point St,37.804,-122.434
SF-A20,Buchanan St at North Point St,37.805,-122.434
SF-A22,North Point St at Polk St,37.805,-122.423
SF-A24-2,Francisco St at Columbus Ave,37.804,-122.416
SF-A25,North Point St at Powell St,37.807,-122.411
SF-A25,North Point St at Powell St,37.807,-122.412
SF-A25-2,Mason St at Bay St,37.805,-122.414
SF-A26,North Point St at Grant Ave,37.807,-122.409
SF-A27,The Embarcadero at Sansome St,37.805,-122.403
SF-AA15,Balboa Park BART Station,37.723,-122.447
SF-AA15-2,Balboa Park BART 2,37.721,-122.448
SF-AA18,Russia Ave at Madrid St,37.72,-122.434
SF-AA20,Brazil Ave at La Grande Ave,37.72,-122.425
SF-AA28,Egbert Ave at Jennings St,37.723,-122.392
SF-B14,Lincoln Blvd at Graham St,37.802,-122.456
SF-B15,Torney Ave at Lincoln Blvd,37.8,-122.453
SF-B19,Bay St at Fillmore St,37.803,-122.436
SF-B20,Buchanan St at Lombard St,37.801,-122.433
SF-B21,Greenwich St at Franklin St,37.8,-122.426
SF-B22,Chestnut St at Van Ness Ave,37.802,-122.424
SF-B24-1,Taylor St at Columbus Ave,37.803,-122.415
SF-B25,Lombard St at Columbus Ave,37.803,-122.413
SF-B28,Cruise Terminal at Pier 27,37.805,-122.402
SF-B28-2,Battery St at Filbert St,37.802,-122.402
SF-BB17,London St at Geneva Ave,37.716,-122.44
SF-C14,MacArthur Ave at Fernandez St,37.797,-122.456
SF-C16-2,Lyon St at Lombard St,37.798,-122.447
SF-C18,Divisadero St at Lombard St,37.799,-122.443
SF-C20,Greenwich St at Webster St,37.799,-122.434
SF-C20-2,Webster St at Union St,37.797,-122.434
SF-C21,Allyne Park (Green St at Gough St),37.797,-122.427
SF-C22,Green St at Van Ness Ave,37.798,-122.423
SF-C25,Powell St at Columbus Ave,37.8,-122.411
SF-C26,Broadway at Kearny St,37.798,-122.406
SF-C26-1,Broadway at Kearny St,37.798,-122.406
SF-C28-1,The Embarcadero at Vallejo St,37.8,-122.399
SF-C28-2,Broadway at Battery St,37.799,-122.401
SF-CC18,Crocker-Amazon Playground (Geneva Ave at Moscow St),37.713,-122.433
SF-D24,Leavenworth St at Broadway,37.796,-122.417
SF-D27,Washington St at Kearny St,37.795,-122.405
SF-D27-2,Montgomery St at Pacific Ave,37.797,-122.404
SF-D27-3,Jackson St at Sansome St,37.797,-122.402
SF-D28,Davis St at Jackson St,37.797,-122.398
SF-D29,Pier 1/2 at The Embarcadero,37.796,-122.395
SF-E18,Divisadero St at Clay St,37.79,-122.441
SF-E20,Webster St at Clay St,37.791,-122.433
SF-E21,Lafayette Park (Laguna St at Washington St),37.792,-122.429
SF-E22,Washington St at Van Ness Ave,37.793,-122.424
SF-E22,Washington St at Van Ness Ave,37.793,-122.423
SF-E23,Jackson St at Polk St,37.794,-122.422
SF-E27,Commercial St at Montgomery St,37.794,-122.403
SF-E28,Clay St at Battery St,37.795,-122.4
SF-E28-2,Front St at California St,37.793,-122.398
SF-E28-3,Battery St at California St,37.794,-122.4
SF-E29-1,San Francisco Ferry Building (Harry Bridges Plaza),37.796,-122.394
SF-E29-1,San Francisco Ferry Building (Harry Bridges Plaza),37.795,-122.394
SF-E29-2,Market St at Steuart St,37.795,-122.395
SF-E29-2,Market St at Steuart St,37.794,-122.395
SF-E29-3,Embarcadero BART Station (Beale St at Market St),37.792,-122.397
SF-F15,Spruce St at California St,37.787,-122.453
SF-F16,Laurel St at California St,37.787,-122.45
SF-F17-1,Clay St at Lyon St,37.789,-122.445
SF-F18,Scott St at California St,37.788,-122.439
SF-F19,Steiner St at California St,37.788,-122.435
SF-F23,Polk St at Post St,37.787,-122.42
SF-F23-2,Polk St at Bush St,37.788,-122.42
SF-F23-3,Larkin St at California St,37.791,-122.419
SF-F26,Union Square (Powell St at Post St),37.789,-122.408
SF-F26-2,Grant Ave at Sutter St,37.79,-122.405
