listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
25999765,4897883,2013-01-29,Exclusive 3 Bedroom Apartment w Balcony,Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,3.0,291.0,97,4.97
49727602,139595528,2017-07-10,Barcelona’s rooftop Apartment,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2.0,95.0,103,4.25
738358916378409220,4078841,2012-11-06,Cozy sunny room with private bathroom,el Camp d'en Grassot i Gràcia Nova,Gràcia,Private room in rental unit,Private room,1.0,60.0,0,
53373511,432138010,2021-11-16,Elegante y Amplio Apartamento en Barcelona,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,4.0,519.0,68,4.85
21522442,21873399,2014-09-28,Art Gallery Apartment 7,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,2.0,140.0,14,4.54
721496206069457357,114297472,2017-02-01,Preciosa Habitación Doble L. Est.  Arco de Triunfo,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room in rental unit,Private room,1.0,91.0,0,
53125440,346367515,2020-05-15,HAKU - 3 bedroom apartment in Eixample Dreta,l'Antiga Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,3.0,129.0,0,
52104837,356762818,2020-07-16,Central room with private bathroom/ central,el Barri Gòtic,Ciutat Vella,Private room in rental unit,Private room,1.0,82.0,36,4.56
1291971,7024519,2013-06-20,CALM APARTMENT IN SAGRADA FAMILIA. FREE WIFI,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2.0,106.0,420,4.53
34918917,166548554,2018-01-08,Alos Apartments Gracia 1.3 (HUTB-005620),la Vila de Gràcia,Gràcia,Entire rental unit,Entire home/apt,2.0,151.0,10,4.5
26345650,198134078,2018-06-26,Hab. suite con cocina y salón + terraza y jardin,Vallcarca i els Penitents,Gràcia,Entire rental unit,Entire home/apt,1.0,200.0,0,
33217965,1447144,2011-11-27,"mr4 December in Barcelona, Gothic Quarter old town",el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,2.0,173.0,8,4.5
588941290836238401,265193861,2019-05-30,Magnificent 4 bedroom apartment in Eixample,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,4.0,124.0,1,4.0
39265283,301446770,2019-10-10,ATTIC LOST GARDEN - Fantastic shared terrace,el Parc i la Llacuna del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,2.0,150.0,85,4.88
641326531104847625,458862217,2022-05-13,Brand New Charming Flat with Balcony (2),"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,1.0,63.0,2,5.0
4310503,10231574,2013-11-24,Beautiful Flat in Eixample 4,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,206.0,45,4.67
6669821,5729069,2013-04-02,3 apartments in Diagonal Mar,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,8.0,1500.0,2,4.5
3864869,19950109,2014-08-13,Cosy flat with Rental Licence in the heart of Bcn,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,2.0,118.0,278,4.65
772255831866649302,33278356,2015-05-13,Ola Living Aribau C P2,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,3.0,265.0,8,4.25
772863814916593775,79331157,2016-06-22,Acogedora habitación en la mejor zona de Barcelona,el Camp d'en Grassot i Gràcia Nova,Gràcia,Private room in rental unit,Private room,1.0,70.0,0,
43532627,338321132,2020-02-23,Luxurious Sagrada Familia Room - Beige,la Sagrada Família,Eixample,Private room in rental unit,Private room,1.0,51.0,61,4.64
45946816,400154,2011-02-19,Sagrada Familia Clot Patio 2 - Wifi/Private/Clean,el Camp de l'Arpa del Clot,Sant Martí,Entire rental unit,Entire home/apt,3.0,149.0,28,4.39
641156187952601882,461820156,2022-05-31,371MUNT-H5 Céntrica habitación en Barcelona,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room in rental unit,Private room,7.0,18.0,0,
663658440024542755,17973595,2014-07-11,Habitación acogedora con escritorio en Barcelona,el Guinardó,Horta-Guinardó,Private room in rental unit,Private room,1.0,37.0,22,4.95
27959603,31908188,2015-04-25,Cozy room in the center of Barcelona,el Parc i la Llacuna del Poblenou,Sant Martí,Private room in rental unit,Private room,1.0,20.0,16,4.75
812236564304153703,497910778,2023-01-25,BBarcelona Clot Apartment with terrace - 6211,el Camp de l'Arpa del Clot,Sant Martí,Entire rental unit,Entire home/apt,3.0,155.0,0,
837593368989203523,434893527,2021-12-06,Exclusive Apartment in Sant Gervasi with Terrace,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,1.0,163.0,0,
20611571,76072048,2016-06-06,piso con vistas a Montjuic,Hostafrancs,Sants-Montjuïc,Entire condo,Entire home/apt,3.0,67.0,2,5.0
47863477,2537484,2012-06-03,COZY BRAND NEW STUDIO CENTER BCN,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire loft,Entire home/apt,,120.0,132,4.8
623036655661571503,10693680,2013-12-18,Apartamento de dos habitaciones en Eixample,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,46.0,2,3.0
811509585868936687,32960860,2015-05-09,Double room in the city center,el Parc i la Llacuna del Poblenou,Sant Martí,Private room in rental unit,Private room,1.0,75.0,3,5.0
43475038,241737779,2019-02-07,UD Marina Vintage with balcony (3BR) MID TERM,el Parc i la Llacuna del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,3.0,300.0,0,
2005972,8232918,2013-08-18,Apartment Sants Les Corts,Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,3.0,116.0,98,4.59
3218014,6057270,2013-04-23,Nice apartment CampNou Stadium FCB with Parking,la Maternitat i Sant Ramon,Les Corts,Entire rental unit,Entire home/apt,2.0,85.0,290,4.78
630164181422001308,299462,2010-11-26,Bright Apartment next to Plaça de Catalunya,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,1.0,160.0,16,4.88
46062597,5614931,2013-03-25,One-bedroom apartment for 2 adults in Les Corts,les Corts,Les Corts,Entire rental unit,Entire home/apt,1.0,150.0,24,4.38
29257241,184373428,2018-04-15,Magnifique hacienda avec grande terrasse,el Raval,Ciutat Vella,Private room in rental unit,Private room,2.0,64.0,5,4.0
21468414,138321551,2017-07-03,Habitación  doble en  alquiler largos periodos,el Besòs i el Maresme,Sant Martí,Private room in rental unit,Private room,1.0,20.0,8,4.86
