date,open,high,low,close,adj_close,volume
2021-01-04,239.82,248.16,239.06,243.26,243.26,145914600
2021-01-05,241.22,246.95,239.73,245.04,245.04,96735600
2021-01-06,252.83,258.00,249.70,251.99,251.99,134100000
2021-01-07,259.21,272.33,258.40,272.01,272.01,154496700
2021-01-08,285.33,294.83,279.46,293.34,293.34,225166500
2021-01-11,283.13,284.81,267.87,270.40,270.40,177904800
2021-01-12,277.00,289.33,275.78,283.15,283.15,138812100
2021-01-13,284.25,286.82,277.33,284.80,284.80,99937500
2021-01-14,281.13,287.67,279.58,281.67,281.67,93798900
2021-01-15,284.00,286.63,273.03,275.39,275.39,116332800
2021-01-19,279.27,283.33,277.67,281.52,281.52,76101000
2021-01-20,286.25,286.50,279.09,283.48,283.48,76997700
2021-01-21,285.00,285.24,280.47,281.66,281.66,61563300
2021-01-22,278.10,282.67,276.21,282.21,282.21,60199500
2021-01-25,285.00,300.13,279.61,293.60,293.60,123520200
2021-01-26,297.13,298.63,290.53,294.36,294.36,69394800
2021-01-27,290.12,297.17,286.22,288.05,288.05,82002000
2021-01-28,273.33,282.67,267.00,278.48,278.48,79134000
2021-01-29,276.67,280.80,260.03,264.51,264.51,104972400
2021-02-01,271.43,280.67,265.19,279.94,279.94,76174200
2021-02-02,281.56,293.50,280.73,290.93,290.93,73038600
2021-02-03,292.34,292.69,284.35,284.90,284.90,55030500
2021-02-04,285.00,285.50,277.81,283.33,283.33,47438100
2021-02-05,281.67,288.26,279.66,284.08,284.08,55699800
2021-02-08,289.89,292.59,284.92,287.81,287.81,60485100
2021-02-09,285.04,286.60,280.58,283.15,283.15,45473100
2021-02-10,281.21,281.61,266.67,268.27,268.27,108648300
2021-02-11,270.81,276.63,267.24,270.55,270.55,64868400
2021-02-12,267.09,272.44,261.78,272.04,272.04,71304900
2021-02-16,272.67,273.67,264.15,265.41,265.41,59406900
2021-02-17,259.70,266.61,254.00,266.05,266.05,77989500
2021-02-18,260.30,264.90,258.76,262.46,262.46,53871300
2021-02-19,265.00,265.60,259.12,260.43,260.43,56874900
2021-02-22,254.21,256.17,236.73,238.17,238.17,111809100
2021-02-23,220.71,237.87,206.33,232.95,232.95,199820700
